scenario_id,system,iterations,latency_median_ms,latency_p95_ms
deploy_break_glass_allowed,rdf_owl_shacl,10,1329.123,1658.858
deploy_break_glass_allowed,opa_set,10,10.258,12.281
deploy_break_glass_allowed,opa_derived,10,11.649,41.247
deploy_during_freeze_denied,rdf_owl_shacl,10,1310.775,1581.024
deploy_during_freeze_denied,opa_set,10,9.453,12.93
deploy_during_freeze_denied,opa_derived,10,11.956,16.779
deploy_no_exception_denied,rdf_owl_shacl,10,1260.639,1354.38
deploy_no_exception_denied,opa_set,10,9.401,11.052
deploy_no_exception_denied,opa_derived,10,7.906,10.156
deploy_no_freeze_allowed,rdf_owl_shacl,10,1171.165,1223.922
deploy_no_freeze_allowed,opa_set,10,6.762,8.839
deploy_no_freeze_allowed,opa_derived,10,9.141,11.607
deploy_prod,rdf_owl_shacl,10,1179.433,1305.909
deploy_prod,opa_set,10,6.75,10.196
deploy_prod,opa_derived,10,8.279,13.503
deploy_prod_approved,rdf_owl_shacl,10,1127.737,1198.583
deploy_prod_approved,opa_set,10,6.081,10.548
deploy_prod_approved,opa_derived,10,8.146,9.225
deploy_staging_allowed,rdf_owl_shacl,10,1232.926,1313.662
deploy_staging_allowed,opa_set,10,6.882,9.289
deploy_staging_allowed,opa_derived,10,8.793,10.128
query_logs_prod,rdf_owl_shacl,10,1134.054,1223.333
query_logs_prod,opa_set,10,5.913,9.724
query_logs_prod,opa_derived,10,10.297,11.667
query_logs_sensitive_obligation,rdf_owl_shacl,10,1134.26,1202.833
query_logs_sensitive_obligation,opa_set,10,6.472,10.405
query_logs_sensitive_obligation,opa_derived,10,8.077,11.653
query_logs_staging_allowed,rdf_owl_shacl,10,1196.428,1278.799
query_logs_staging_allowed,opa_set,10,7.013,9.424
query_logs_staging_allowed,opa_derived,10,11.42,12.52
query_logs_staging_no_audit,rdf_owl_shacl,10,1136.327,1374.607
query_logs_staging_no_audit,opa_set,10,6.706,8.776
query_logs_staging_no_audit,opa_derived,10,8.979,12.347
query_logs_with_audit_allowed,rdf_owl_shacl,10,1122.141,1328.788
query_logs_with_audit_allowed,opa_set,10,8.041,11.106
query_logs_with_audit_allowed,opa_derived,10,9.95,15.594
read_public_allowed,rdf_owl_shacl,10,1120.162,1168.27
read_public_allowed,opa_set,10,8.082,11.989
read_public_allowed,opa_derived,10,9.719,11.995
restart_active_incident,rdf_owl_shacl,10,1228.503,1278.325
restart_active_incident,opa_set,10,10.27,12.811
restart_active_incident,opa_derived,10,13.905,15.697
restart_allowed,rdf_owl_shacl,10,1249.495,1426.953
restart_allowed,opa_set,10,6.949,9.02
restart_allowed,opa_derived,10,10.581,13.743
restart_break_glass_allowed,rdf_owl_shacl,10,1166.295,1369.323
restart_break_glass_allowed,opa_set,10,8.244,9.489
restart_break_glass_allowed,opa_derived,10,14.258,35.832
restart_break_glass_expired,rdf_owl_shacl,10,1244.294,1452.515
restart_break_glass_expired,opa_set,10,7.062,10.963
restart_break_glass_expired,opa_derived,10,11.147,14.172
restart_customer_facing,rdf_owl_shacl,10,1110.304,1527.865
restart_customer_facing,opa_set,10,6.505,8.269
restart_customer_facing,opa_derived,10,8.494,10.837
restart_denied,rdf_owl_shacl,10,1098.136,1143.647
restart_denied,opa_set,10,6.56,7.833
restart_denied,opa_derived,10,8.107,11.382
restart_dev_allowed,rdf_owl_shacl,10,1085.816,1145.341
restart_dev_allowed,opa_set,10,8.307,11.791
restart_dev_allowed,opa_derived,10,9.04,11.62
restart_in_maintenance_allowed,rdf_owl_shacl,10,1158.96,1222.581
restart_in_maintenance_allowed,opa_set,10,7.486,10.025
restart_in_maintenance_allowed,opa_derived,10,10.187,14.772
restart_new_prod_server,rdf_owl_shacl,10,1110.65,1294.655
restart_new_prod_server,opa_set,10,7.731,9.289
restart_new_prod_server,opa_derived,10,9.366,10.788
restart_staging_allowed,rdf_owl_shacl,10,1136.984,1190.789
restart_staging_allowed,opa_set,10,7.211,8.742
restart_staging_allowed,opa_derived,10,9.412,10.557
skill_admin_tool_review,rdf_owl_shacl,10,1128.416,1236.498
skill_admin_tool_review,opa_set,10,6.083,8.961
skill_admin_tool_review,opa_derived,10,7.52,9.064
skill_credential_harvester_denied,rdf_owl_shacl,10,1130.416,1164.255
skill_credential_harvester_denied,opa_set,10,5.832,6.735
skill_credential_harvester_denied,opa_derived,10,7.257,8.713
skill_finance_write_bundled_review,rdf_owl_shacl,10,1197.842,1375.649
skill_finance_write_bundled_review,opa_set,10,6.188,11.173
skill_finance_write_bundled_review,opa_derived,10,8.522,12.252
skill_hidden_exfil_denied,rdf_owl_shacl,10,1187.284,1351.98
skill_hidden_exfil_denied,opa_set,10,7.832,10.74
